geoid,tract_name,borough,B08301_E001,B08301_M001,B08301_E002,B08301_M002,B08301_E003,B08301_M003,B08301_E004,B08301_M004,B08301_E005,B08301_M005,B08301_E006,B08301_M006,B08301_E007,B08301_M007,B08301_E008,B08301_M008,B08301_E009,B08301_M009,B08301_E010,B08301_M010,B08301_E011,B08301_M011,B08301_E012,B08301_M012,B08301_E013,B08301_M013,B08301_E014,B08301_M014,B08301_E015,B08301_M015,B08301_E016,B08301_M016,B08301_E017,B08301_M017,B08301_E018,B08301_M018,B08301_E019,B08301_M019,B08301_E020,B08301_M020,B08301_E021,B08301_M021
1400000US36047021600,"Census Tract 216, Kings County, New York",Brooklyn,1058,204,279,119,160,91,119,76,59,71,11,18,26,4,23,37,0,14,226,104,54,50,172,82,0,14,0,14,0,14,23,35,0,14,0,14,452,134,0,14,78,63
1400000US36047021700,"Census Tract 217, Kings County, New York",Brooklyn,2218,303,190,71,127,63,63,52,35,38,9,14,19,32,0,14,0,14,1170,173,17,28,1143,174,10,16,0,14,0,14,14,23,0,14,0,14,103,78,90,60,651,206
1400000US36047021800,"Census Tract 218, Kings County, New York",Brooklyn,975,239,350,183,276,167,74,72,62,69,12,18,0,14,0,14,0,14,112,87,24,29,48,48,40,65,0,14,0,14,0,14,0,14,26,31,346,151,0,14,141,163
1400000US36047021900,"Census Tract 219, Kings County, New York",Brooklyn,2744,372,399,232,367,230,32,36,17,27,0,14,0,14,15,24,0,14,1292,218,135,85,1119,188,38,48,0,14,0,14,0,14,0,14,89,70,46,58,19,20,899,169
1400000US36047022000,"Census Tract 220, Kings County, New York",Brooklyn,1578,444,356,198,280,198,76,70,14,22,62,66,0,19,0,19,0,19,266,196,8,16,258,196,0,19,0,19,0,19,30,29,0,19,0,19,639,188,0,19,287,309
1400000US36047022100,"Census Tract 221, Kings County, New York",Brooklyn,2141,296,236,123,190,118,46,42,46,42,0,14,0,14,0,14,0,14,865,204,81,66,768,195,16,24,0,14,0,14,0,14,0,14,92,57,128,114,0,14,820,191
1400000US36047022200,"Census Tract 222, Kings County, New York",Brooklyn,1451,377,482,132,246,109,236,130,190,124,13,20,0,14,33,50,0,14,411,216,24,36,365,172,22,34,0,14,0,14,0,14,0,14,25,37,354,148,0,14,179,144
1400000US36047022400,"Census Tract 224, Kings County, New York",Brooklyn,1503,334,171,106,161,100,10,17,0,19,0,19,10,17,0,19,0,19,512,238,181,149,331,165,0,19,0,19,0,19,24,28,0,19,60,69,642,194,0,19,94,84
1400000US36047022600,"Census Tract 226, Kings County, New York",Brooklyn,852,226,152,78,139,81,13,14,13,14,0,14,0,14,0,14,0,14,264,130,95,99,169,85,0,14,0,14,0,14,9,13,0,14,9,13,294,186,0,14,124,80
1400000US36047022700,"Census Tract 227, Kings County, New York",Brooklyn,2746,542,119,69,74,60,45,48,45,48,0,14,0,14,0,14,0,14,1877,522,52,64,1808,485,17,72,0,14,0,14,22,34,0,14,94,64,29,43,62,111,543,239
1400000US36047022800,"Census Tract 228, Kings County, New York",Brooklyn,938,210,121,78,104,71,17,24,17,24,0,14,0,14,0,14,0,14,491,155,42,45,449,134,0,14,0,14,0,14,9,14,0,14,26,49,176,99,32,45,83,47
1400000US36047022900,"Census Tract 229, Kings County, New York",Brooklyn,2529,383,60,39,54,39,6,10,6,10,0,14,0,14,0,14,0,14,1193,246,94,86,1089,239,10,17,0,14,0,14,13,21,23,34,153,101,221,159,0,14,866,238
1400000US36047023000,"Census Tract 230, Kings County, New York",Brooklyn,887,304,169,107,156,108,13,20,0,14,0,14,13,20,0,14,0,14,196,132,51,57,145,117,0,14,0,14,0,14,0,14,0,14,9,16,383,169,11,16,119,82
1400000US36047023100,"Census Tract 231, Kings County, New York",Brooklyn,2166,287,293,117,292,117,1,2,1,2,0,14,0,14,0,14,0,14,807,203,42,36,750,197,15,23,0,14,0,14,0,14,0,14,135,78,206,80,27,41,698,192
1400000US36047023200,"Census Tract 232, Kings County, New York",Brooklyn,1873,335,656,174,431,140,225,127,182,117,32,50,0,19,11,17,0,19,408,191,109,85,299,160,0,19,0,19,0,19,0,19,0,19,9,17,671,194,0,19,129,116
1400000US36047023300,"Census Tract 233, Kings County, New York",Brooklyn,2834,586,555,228,454,223,101,135,101,135,0,19,0,19,0,19,0,19,1313,534,193,197,1120,440,0,19,0,19,0,19,0,19,0,19,224,139,61,71,0,19,681,258
1400000US36047023400,"Census Tract 234, Kings County, New York",Brooklyn,1716,339,519,217,304,155,215,162,119,127,96,96,0,19,0,19,0,19,365,266,39,63,301,252,25,44,0,19,0,19,0,19,0,19,10,16,694,224,0,19,128,112
1400000US36047023500,"Census Tract 235, Kings County, New York",Brooklyn,2085,267,332,194,210,107,122,167,111,167,11,16,0,19,0,19,0,19,602,171,31,40,571,170,0,19,0,19,0,19,99,66,0,19,29,33,683,233,19,31,321,123
1400000US36047023600,"Census Tract 236, Kings County, New York",Brooklyn,1796,250,349,125,284,111,65,60,38,53,14,23,0,19,0,19,13,16,320,197,200,150,120,86,0,19,0,19,0,19,33,41,0,19,34,53,917,192,0,19,143,83
1400000US36047023800,"Census Tract 238, Kings County, New York",Brooklyn,1073,219,340,151,308,146,32,55,19,33,0,19,13,22,0,19,0,19,189,101,82,75,107,84,0,19,0,19,0,19,56,56,0,19,24,39,386,142,0,19,78,53
